,MSFT,GOOGL,AMZN,V,EQIX,ILMN,ROK,NEE,COST,ALB,SLB,^GSPC,^NDX,^IXIC,^DJI,^RUT,^VIX,XLK,XLC,XLY,XLF,XLRE,XLV,XLI,XLU,XLP,XLB,XLE,QQQ,SPY,AGG,TLT,GLD
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-31,-0.006449554460674856,0.010758189392938489,-0.05755551656087243,-0.007529781571388505,0.08811222252200546,0.09472691402014344,0.1296886020528727,0.02827486265055179,-0.0051236726305993185,0.0068125252252027035,0.06574828709805702,0.022645574359139164,0.02887910038742425,0.017795805618840754,0.02715781962098185,-0.0030626227771217707,0.100281728825099,0.03175829641775341,,-0.006147906990104701,0.028213065218383848,,0.005714657470224926,0.03928897210969606,0.012124987501681339,-0.01467081370921719,0.0007809655639909874,0.07179480993448695,0.028277652246609497,0.02329937642054669,-0.0008521353793898845,-0.030810833133959048,-0.06379762129208244
2011-02-28,-0.035805513107545095,0.021720336238036264,0.02151613746851533,0.047920750216295716,-0.02239320254285193,0.0008652882003532536,0.08739717865582852,0.03759797817212851,0.043925044304500505,0.024928889959919598,0.05269325503645761,0.03195656372809341,0.03027292083636346,0.030439816238089,0.028120764672995735,0.054016015625000025,-0.060419880373207446,0.0219317769540468,,0.05997822409664888,0.027438928927042694,,0.03124983133895487,0.021246877464387248,0.012294882652078565,0.02908560899166357,0.02653496820700707,0.07368409853421931,0.031606834088486746,0.03473755957967639,0.0029044823272268427,0.016501497475561067,0.05998312803425154
2011-03-31,-0.04477062414082911,-0.043430154068400784,0.039471406116217134,0.0078023300872602785,0.053910180820676334,0.009654144396282538,0.07887843610104572,0.003890462115289095,-0.019655733767674266,0.04152612659678834,-0.0017127117087915034,-0.0010473129391664893,-0.00510423270615612,-0.00043128494482980173,0.007638477761416018,0.024409466619673692,-0.0332425393825907,-0.015509176244285605,,-0.005814818634314101,-0.024753940970952404,,0.01808581912466689,0.0223040648500048,0.0023131476108724236,0.012459583189718293,0.01754082485441022,0.018824516372176525,-0.004482425866150108,0.0001201024100825343,-0.002229747566453888,0.0002932402034629966,0.01598138086384293
2011-04-30,0.020874466481760834,-0.07270423098346845,0.087048178737823,0.06112519880425271,0.10493955368749375,0.012987039152743574,-0.07945096171310673,0.026306199072356318,0.1032457951278909,0.1803578022211585,-0.03763700374305767,0.028495380666536008,0.02782828834769946,0.0332497809944341,0.03983931073471769,0.02577202364883524,-0.1685456487990531,0.02609309982133845,,0.03841231984738491,-0.0006102126530491692,,0.06433060966774007,0.027342868417993937,0.040476671743320036,0.05347587985282476,0.021239085497113175,0.009153870991363444,0.028730479076298554,0.028961382714919104,0.0156748397860782,0.023391372267955512,0.08944654978008071
2011-05-31,-0.028783468987592764,-0.02771557239364153,0.004494216538089457,0.03956837081978781,0.0073517136135623495,0.015497307871481514,-0.04213872246296557,0.02439495258098834,0.02264070939024143,0.004110645769255461,-0.04209112147795058,-0.01350095289522324,-0.013119379570375567,-0.013307623946263503,-0.018793118733940517,-0.019635024865430895,0.04745761418746697,-0.010470950709207671,,-0.0027129009246550373,-0.032966960080478946,,0.02468789092164747,-0.027649014771000235,0.021411599696171235,0.025063502647899805,-0.027403467415285987,-0.04187374982466785,-0.012186989835541895,-0.011214281601022558,0.012398683196933602,0.03422732847252519,-0.017916885312225905
2011-06-30,0.03958417152790594,-0.042796006224503635,0.03965624863935702,0.039477014599481164,-0.0037474452492018973,0.04259156897350924,0.043917843375244514,0.0010451794805372838,-0.015033106938652008,-0.020684456385957395,0.00793300543172104,-0.018257461652479323,-0.020008079915010635,-0.021789591307068035,-0.012366968328779926,-0.02460214006543271,0.06925570625941835,-0.024833193313952062,,-0.002176224621512013,-0.02745377616554845,,-0.011239977809415547,-0.005457085987469856,-0.0014384311092058288,-0.02664793353681405,-0.0040192133136285335,-0.019221424845322077,-0.020254573124225184,-0.01686971309070373,-0.004452101235784989,-0.02323067786081534,-0.024325042799353547
2011-07-31,0.053845855189309066,0.19216788284092257,0.08817064190318868,0.015191166860347494,0.03415135811761716,-0.16899532455952038,-0.17289046153560528,-0.038461413955031665,-0.03680506638169445,-0.03786146083116371,0.04594871758003505,-0.02147442530666621,0.016231764688711126,-0.0061799217593702105,-0.021837617850576696,-0.03674022412530331,0.5284503208432789,0.004280570284291185,,-0.013926658444734508,-0.035830650396969754,,-0.03968529172412272,-0.06874287871707485,-0.00925940768229383,-0.012808411860900759,-0.03454395651751052,0.014598811135287049,0.016652492982313305,-0.020004796255488344,0.016866378133742588,0.04414649026295936,0.08417803620638908
2011-08-31,-0.023069553360064443,-0.10391097173732233,-0.03276110304953761,0.02915406309922952,-0.09983684628668166,-0.165732568924834,-0.09979354137090057,0.03695304209939598,0.0068932112446842275,-0.2383598343001626,-0.1327470656955737,-0.05679110795232889,-0.05154881086828267,-0.06418560916736848,-0.04362179704211078,-0.08810211555043668,0.25227726095973857,-0.053080306226799046,,-0.05245945350283365,-0.09594591375090278,,-0.021101471730241017,-0.06574441350300331,0.021706036942748197,0.0019461153351907345,-0.0702447013274442,-0.10215852172306139,-0.05068973096354901,-0.05497545122954306,0.015204332360334805,0.09667522879405044,0.12274943937515781
2011-09-30,-0.06428560309668852,-0.047914866785327304,0.004646121395208258,-0.024578861946922492,-0.05540202353402657,-0.21458736507958964,-0.12677359030854085,-0.04760232624677618,0.045709295090194946,-0.2003606678124692,-0.23540719046019776,-0.07176198808089651,-0.045439367821319965,-0.06360248310817851,-0.060287472813188026,-0.11371613584250329,0.3586337110772255,-0.030696218657122354,,-0.06895240634174216,-0.11391049604355885,,-0.044880309913209904,-0.09310012416384783,0.002161209800552122,-0.032955873573811134,-0.16479446717262103,-0.14423437839914055,-0.044908478394890095,-0.06942071313537612,0.007706180101990423,0.13206076744266726,-0.11062347246832638
